# HDT throughput run started 2026-08-21T14:17:49+02:00
# config: virtual_file_size_mb=50 conn_interval_units=40 packet_size_bytes=247 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms
2026-08-21T14:21:03+02:00,HDT7.5,50,2407,2244,187022
2026-08-21T14:24:11+02:00,HDT6,50,2342,2248,186660
2026-08-21T14:27:53+02:00,HDT4,50,1952,1906,220113
2026-08-21T14:32:17+02:00,HDT3,50,1639,1597,262657
2026-08-21T14:38:02+02:00,HDT2,50,1249,1217,344511
2026-08-21T14:40:50+02:00,HDT7.5,50,2568,2516,166816
2026-08-21T14:43:56+02:00,HDT6,50,2342,2275,184467
2026-08-21T14:47:37+02:00,HDT4,50,1561,1907,220053
2026-08-21T14:52:00+02:00,HDT3,50,1639,1602,261866
2026-08-21T14:57:44+02:00,HDT2,50,1249,1225,342417
2026-08-21T15:00:33+02:00,HDT7.5,50,2342,2503,167639
2026-08-21T15:03:37+02:00,HDT6,50,2342,2290,183288
2026-08-21T15:07:18+02:00,HDT4,50,1936,1914,219115
2026-08-21T15:11:40+02:00,HDT3,50,1639,1607,260998
2026-08-21T15:17:24+02:00,HDT2,50,1249,1224,342545
2026-08-21T15:20:12+02:00,HDT7.5,50,2576,2511,167037
2026-08-21T15:23:18+02:00,HDT6,50,2334,2273,184574
2026-08-21T15:26:59+02:00,HDT4,50,1952,1912,219486
2026-08-21T15:31:21+02:00,HDT3,50,1639,1604,261496
2026-08-21T15:37:05+02:00,HDT2,50,1249,1225,342455
2026-08-21T15:39:54+02:00,HDT7.5,50,2576,2507,167296
2026-08-21T15:42:57+02:00,HDT6,50,1873,2300,182465
2026-08-21T15:46:38+02:00,HDT4,50,1952,1915,219037
2026-08-21T15:51:00+02:00,HDT3,50,1647,1605,261363
2026-08-21T15:56:44+02:00,HDT2,50,1249,1224,342854
2026-08-21T15:59:31+02:00,HDT7.5,50,2576,2530,165740
2026-08-21T16:02:36+02:00,HDT6,50,2342,2288,183377
2026-08-21T16:06:17+02:00,HDT4,50,1952,1911,219524
2026-08-21T16:10:40+02:00,HDT3,50,1639,1597,262575
2026-08-21T16:16:24+02:00,HDT2,50,1249,1225,342319
2026-08-21T16:19:12+02:00,HDT7.5,50,2576,2509,167265
2026-08-21T16:22:17+02:00,HDT6,50,2342,2290,183219
2026-08-21T16:25:56+02:00,HDT4,50,1952,1927,217715
2026-08-21T16:30:16+02:00,HDT3,50,1639,1621,258711
2026-08-21T16:35:58+02:00,HDT2,50,1249,1232,340651
2026-08-21T16:38:44+02:00,HDT7.5,50,2576,2545,164893
2026-08-21T16:41:47+02:00,HDT6,50,2342,2303,182106
2026-08-21T16:45:27+02:00,HDT4,50,1694,1921,218371
2026-08-21T16:49:47+02:00,HDT3,50,1639,1619,259154
2026-08-21T16:55:28+02:00,HDT2,50,1257,1235,339775
2026-08-21T16:58:15+02:00,HDT7.5,50,2576,2536,165406
2026-08-21T17:01:18+02:00,HDT6,50,2342,2303,182276
2026-08-21T17:04:58+02:00,HDT4,50,1952,1918,218756
2026-08-21T17:09:19+02:00,HDT3,50,1639,1614,259849
2026-08-21T17:15:01+02:00,HDT2,50,1249,1230,341044
2026-08-21T17:17:48+02:00,HDT7.5,50,2576,2535,165531
2026-08-21T17:20:51+02:00,HDT6,50,2342,2312,181461
2026-08-21T17:24:30+02:00,HDT4,50,1952,1927,217701
2026-08-21T17:28:51+02:00,HDT3,50,1639,1616,259522
