# HDT throughput run started 2026-09-18T15:54:42+02:00
# config: virtual_file_size_mb=50 conn_interval_units=80 packet_size_bytes=506 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms,connection_interval_ms,packet_size_bytes
2026-09-18T15:57:01+02:00,HDT7.5,50,3396,3201,131156,100,506
2026-09-18T15:59:10+02:00,HDT6,50,3380,3320,126391,100,506
2026-09-18T16:01:55+02:00,HDT4,50,2591,2565,163500,100,506
2026-09-18T16:05:17+02:00,HDT3,50,2140,2101,199687,100,506
2026-09-18T16:09:58+02:00,HDT2,50,1513,1508,278531,100,506
2026-09-18T16:12:14+02:00,HDT7.5,50,3782,3143,133391,100,506
2026-09-18T16:14:22+02:00,HDT6,50,3364,3316,126468,100,506
2026-09-18T16:17:10+02:00,HDT4,50,2559,2535,165468,100,506
2026-09-18T16:20:34+02:00,HDT3,50,1947,2082,201719,100,506
2026-09-18T16:25:16+02:00,HDT2,50,1513,1498,280047,100,506
2026-09-18T16:27:27+02:00,HDT7.5,50,2462,3262,128813,100,506
2026-09-18T16:29:36+02:00,HDT6,50,3460,3314,126672,100,506
2026-09-18T16:32:25+02:00,HDT4,50,2639,2519,166641,100,506
2026-09-18T16:35:50+02:00,HDT3,50,2140,2067,202859,100,506
2026-09-18T16:40:32+02:00,HDT2,50,1513,1495,280532,100,506
2026-09-18T16:42:44+02:00,HDT7.5,50,3702,3225,129953,100,506
2026-09-18T16:44:54+02:00,HDT6,50,3396,3292,127515,100,506
2026-09-18T16:47:41+02:00,HDT4,50,2607,2549,164609,100,506
2026-09-18T16:51:06+02:00,HDT3,50,2076,2066,203031,100,506
2026-09-18T16:55:49+02:00,HDT2,50,1545,1493,281015,100,506
2026-09-18T16:58:01+02:00,HDT7.5,50,3879,3233,129625,100,506
2026-09-18T17:00:11+02:00,HDT6,50,3412,3287,127625,100,506
2026-09-18T17:02:59+02:00,HDT4,50,2543,2527,165953,100,506
2026-09-18T17:06:22+02:00,HDT3,50,2140,2089,200797,100,506
2026-09-18T17:11:05+02:00,HDT2,50,1506,1491,281391,100,506
2026-09-18T17:13:13+02:00,HDT7.5,50,3879,3342,125625,100,506
2026-09-18T17:15:22+02:00,HDT6,50,3412,3298,127125,100,506
2026-09-18T17:18:08+02:00,HDT4,50,2575,2551,164406,100,506
2026-09-18T17:21:32+02:00,HDT3,50,2156,2087,201125,100,506
2026-09-18T17:26:14+02:00,HDT2,50,1513,1496,280453,100,506
2026-09-18T17:28:25+02:00,HDT7.5,50,3782,3271,128171,100,506
2026-09-18T17:30:35+02:00,HDT6,50,3428,3275,128093,100,506
